ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680624,259424.70273193764
1641,283680.0,289177.7929764437,-5497.792976443714
3620,135818.0,166619.49465333688,-30801.49465333688
2820,468742.0,398384.28451047547,70357.71548952453
1572,311065.0,389518.4899596194,-78453.48995961942
202,228740.0,198964.59339845265,29775.40660154735
8169,260611.0,294784.6602290217,-34173.66022902168
6212,199843.0,210704.1289427576,-10861.128942757612
6754,273619.0,260715.37364563262,12903.626354367385
5197,334528.0,313213.81469183473,21314.185308165266
5170,371797.0,411610.51049034816,-39813.510490348155
3987,129547.0,124654.76735315601,4892.232646843986
8088,241878.0,193002.01313984953,48875.98686015047
1181,544164.0,503632.3739617062,40531.62603829382
5703,233936.0,248737.98668513424,-14801.986685134238
7979,340244.0,310809.2917819943,29434.70821800572
2546,673459.0,670056.0497525128,3402.9502474871697
5831,219892.0,261525.21342596368,-41633.21342596368
2288,136479.0,178225.2614709318,-41746.261470931786
7372,284417.0,262588.5445717622,21828.455428237794
8553,401696.0,313633.74535863206,88062.25464136794
605,400036.0,503496.15571380855,-103460.15571380855
7343,502384.0,454250.3455286312,48133.65447136882
6956,432570.0,460794.6943775057,-28224.694377505686
6787,271336.0,208790.67410792471,62545.325892075285
8790,259581.0,283810.4471893384,-24229.44718933839
8875,368614.0,395641.2505922317,-27027.250592231692
5222,449834.0,441770.600697906,8063.399302094011
6583,268084.0,249646.31523039402,18437.684769605985
4457,326357.0,410688.6879428131,-84331.68794281309
3798,513051.0,499357.11990558496,13693.880094415043
8692,484256.0,663018.1510235489,-178762.1510235489
9185,391848.0,497638.45911025174,-105790.45911025174
9170,289229.0,303536.629590755,-14307.62959075498
6922,396836.0,580543.2495697736,-183707.24956977356
1816,299874.0,315679.89577785775,-15805.895777857746
889,453808.0,389502.65466081526,64305.34533918474
2315,197244.0,197667.92962042932,-423.9296204293205
3837,348815.0,331519.12295272434,17295.87704727566
8611,573658.0,590494.850497697,-16836.850497697014
5917,269948.0,237208.2318819545,32739.768118045497
6719,133645.0,110666.40868751098,22978.59131248902
5994,367737.0,464590.98213626887,-96853.98213626887
9266,252230.0,233527.08907518667,18702.91092481333
4038,104509.0,110147.09100402716,-5638.091004027156
2556,559989.0,429561.0490637213,130427.95093627868
3330,300314.0,334262.3749358183,-33948.37493581831
9027,112586.0,108427.70839041511,4158.291609584892
486,225432.0,228535.07529446145,-3103.0752944614505
5064,421310.0,469407.7428881113,-48097.74288811127
3314,357001.0,317730.6816098021,39270.31839019788
3744,204498.0,224537.28449130623,-20039.28449130623
5128,346301.0,348038.07411785057,-1737.0741178505705
8075,467567.0,500779.0174993177,-33212.017499317706
1626,722563.0,495440.58463263157,227122.41536736843
5519,547190.0,661481.5677073203,-114291.56770732033
5771,309847.0,310550.48409141717,-703.4840914171655
1845,361572.0,292972.61357139156,68599.38642860844
3905,173822.0,198822.96684345065,-25000.966843450646
3335,315375.0,294000.78899393737,21374.21100606263
1027,153949.0,149949.7932769553,3999.2067230447137
8618,225252.0,184473.1125039705,40778.88749602949
7935,121715.0,128954.68730080606,-7239.687300806065
4478,543538.0,530295.1734347219,13242.826565278112
2515,338222.0,379112.01059302496,-40890.010593024956
3447,159984.0,207905.6565982629,-47921.656598262896
3961,260012.0,307037.3378898744,-47025.33788987441
268,92160.0,103867.35095876535,-11707.350958765353
2075,244701.0,347106.59911733976,-102405.59911733976
5778,397709.0,320338.4316043343,77370.56839566567
4947,246083.0,309295.401908348,-63212.40190834802
2216,308541.0,395211.8440009061,-86670.8440009061
8493,483930.0,532347.909289743,-48417.90928974305
4607,390569.0,354330.68559307593,36238.314406924066
2396,136502.0,162244.4887171997,-25742.48871719971
7620,303201.0,278092.78070013685,25108.21929986315
4459,443205.0,484239.6123099766,-41034.6123099766
8289,91960.0,102294.07754065584,-10334.077540655839
163,354225.0,294044.1970851759,60180.802914824104
8805,358049.0,320916.5010565056,37132.4989434944
552,237726.0,242246.69830777432,-4520.698307774321
4382,278715.0,260358.13461399623,18356.865386003774
7172,380327.0,364550.82487888297,15776.175121117034
9230,268497.0,242860.36643434575,25636.63356565425
2488,175443.0,187796.6504487152,-12353.650448715198
3146,234366.0,239121.180971771,-4755.180971771013
7483,131104.0,150609.001538664,-19505.001538663986
5621,70388.0,307433.88646551035,-237045.88646551035
9061,136715.0,144194.71876436326,-7479.718764363264
4088,300611.0,272716.97953394573,27894.020466054266
6314,84167.0,86505.47826132805,-2338.478261328055
